"lead_key","occurrence_count","statuses","business_name","niche","city","state","website","owner_name","validation_status","triage_reason","recommended_action","source_files","should_skip_research","should_skip_collection"
"website:nashvilleroofingco.com","5","final_artifact;master;pending;raw;reviewed_artifact","Nashville Roofing Company","roofing","Nashville","TN","https://nashvilleroofingco.com/","Tyson Laemmel","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:murrayavelocksmith.com","5","final_artifact;master;pending;raw;reviewed_artifact","Murray Avenue Locksmith","locksmith","Pittsburgh","PA","https://www.murrayavelocksmith.com/","David Dvir","validated_public_business_source","","","data/master_leads.csv;data/runs/2026-06-15-015036-2026-06-15-usa-home-services-sprint/final/2026-06-15-pittsburgh-locksmith-owner-enriched-batch-062.csv;data/runs/2026-06-15-015036-2026-06-15-usa-home-services-sprint/raw/2026-06-15T01-49-28-935Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-015036-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15-pittsburgh-locksmith-owner-enriched-batch-062.csv;data/runs/2026-06-15-015036-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T01-49-28-935Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:reliantplumbingandrooter.com","5","final_artifact;master;pending;raw;reviewed_artifact","Reliant Plumbing & Rooter","plumbing","Phoenix","AZ","https://reliantplumbingandrooter.com/","Alexis Mireles","reviewed_final_public_owner_verified","owner_verified;official_site_verified;bbb_profile_verified","merge_as_reviewed_final;offer emergency plumbing conversion and review/local visibility audit","data/master_leads.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/final/2026-06-15-phoenix-roofing-plumbing-final-batch-065.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/raw/2026-06-15T03-00-55-340Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15-phoenix-roofing-plumbing-reviewed-batch-065.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T03-00-55-340Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:hardackerroofing.com","5","final_artifact;master;pending;raw;reviewed_artifact","Hardacker Roofing LLC","roofing","Phoenix","AZ","https://www.hardackerroofing.com/","Clyde Howard Hardacker","reviewed_final_public_owner_verified","owner_verified;bbb_profile_verified;association_profile_verified;website_contact_path_weak","merge_as_reviewed_final;offer website crawlability/contact-path and local trust-proof audit","data/master_leads.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/final/2026-06-15-phoenix-roofing-plumbing-final-batch-065.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/raw/2026-06-15T03-00-55-340Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15-phoenix-roofing-plumbing-reviewed-batch-065.csv;data/runs/2026-06-15-030224-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T03-00-55-340Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:druffeldl.com","5","final_artifact;master;pending;raw;reviewed_artifact","Druffel Design & Landscape","landscaping","Cincinnati","OH","https://druffeldl.com/","Dan Druffel","validated_public_business_source","","","data/master_leads.csv;data/runs/2026-06-15-013522-2026-06-15-usa-home-services-sprint/final/2026-06-15-cincinnati-landscaping-owner-enriched-batch-061.csv;data/runs/2026-06-15-013522-2026-06-15-usa-home-services-sprint/raw/2026-06-15T01-33-57-661Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-013522-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15-cincinnati-landscaping-owner-enriched-batch-061.csv;data/runs/2026-06-15-013522-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T01-33-57-661Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:southsideplumbingandheating.com","5","final_artifact;master;pending;raw;reviewed_artifact","South Side Plumbing & Heating Co Inc","plumbing","Pittsburgh","PA","https://southsideplumbingandheating.com/","John Kicinski","validated_public_business_source","","","data/master_leads.csv;data/runs/2026-06-15-010419-2026-06-15-usa-home-services-sprint/final/2026-06-15T01-03-00-559Z-usa-home-services-sprint-fresh-leads.final.csv;data/runs/2026-06-15-010419-2026-06-15-usa-home-services-sprint/raw/2026-06-15T01-03-00-559Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-010419-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15T01-03-00-559Z-usa-home-services-sprint-fresh-leads.reviewed.csv;data/runs/2026-06-15-010419-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T01-03-00-559Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:electricbillsinc.com","5","final_artifact;master;pending;raw;reviewed_artifact","Electric Bill's Inc.","electrician","Nashville","TN","https://www.electricbillsinc.com/","William ""Bill"" Hudson","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:bonedry.com/nashville/?bdr_campaign=bdr-dig-dir-roof-tn-pho-directory-202510-nashvilleexternaldirectory","5","final_artifact;master;pending;raw;reviewed_artifact","Bone Dry Roofing","roofing","Nashville","TN","https://bonedry.com/nashville/?bdr_campaign=BDR-DIG-DIR-ROOF-TN-PHO-DIRECTORY-202510-NASHVILLEEXTERNALDIRECTORY","Gene Judd","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:boehmerheating.com","5","final_artifact;master;pending;raw;reviewed_artifact","Boehmer Heating & Cooling","hvac","Pittsburgh","PA","https://www.boehmerheating.com/","Steve Boehmer","validated_public_business_source","","","data/master_leads.csv;data/runs/2026-06-15-011945-2026-06-15-usa-home-services-sprint/final/2026-06-15T01-18-23-876Z-usa-home-services-sprint-fresh-leads.final.csv;data/runs/2026-06-15-011945-2026-06-15-usa-home-services-sprint/raw/2026-06-15T01-18-23-876Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-011945-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15T01-18-23-876Z-usa-home-services-sprint-fresh-leads.reviewed.csv;data/runs/2026-06-15-011945-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T01-18-23-876Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:ewingelectricco.com","5","final_artifact;master;pending;raw;reviewed_artifact","Ewing Electric","electrician","Charlotte","NC","https://ewingelectricco.com/","Alexis Arnold","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
