"lead_id","business_name","niche","city","state","website","public_phone","public_email","validation_status","priority_tier","suspicion_flags"
"lf-20260525-0050","Reliable Thermal Solutions of Corona","hvac","Corona","NY","https://www.reliablethermal.com/","347-298-2816","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0493","Reliable Thermal Solutions of New York City","hvac","New York City","NY","https://www.reliablethermal.com/","347-618-4385","contact@reliablethermal.com","contact_path_present","P2_hold","duplicate_website_multi_city:2"
"lf-20260525-0052","Quick Electric Repair of Queens","electrician","Queens","NY","https://www.quickelectricre.com/","347-836-4900","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0158","Quick Electric Repair of New York City","electrician","New York City","NY","https://www.quickelectricre.com/","","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0484","Direct Electric Repair of Queens","electrician","Queens","NY","https://www.quickelectricre.com/","347-452-8558","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0056","Express Handyman Pros of Riverview","home service","Riverview","FL","https://www.expresshandyman.com/","813-658-5231","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:4"
"lf-20260525-0341","Express Handyman Pros of Yonkers","home service","Yonkers","NY","https://www.expresshandyman.com/","347-510-8205","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:4"
"lf-20260525-0432","Express Handyman Pros of Westchester","home service","Westchester","NY","https://www.expresshandyman.com/","347-515-9024","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:4"
"lf-20260525-0438","Express Handyman Pros of Buffalo","home service","Buffalo","NY","https://www.expresshandyman.com/","347-393-6905","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:4"
"lf-20260525-0117","Expert Handyman Pros of Corona","home service","Corona","NY","https://www.experthandymanp.com/","347-376-6298","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0478","Expert Handyman Pros of Bronx","home service","Bronx","NY","https://www.experthandymanp.com/","347-714-7673","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0123","Expert Electric Repair of Corona","electrician","Corona","NY","https://www.expertelectricr.com/","347-739-7981","","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2"
"lf-20260525-0298","Expert Electric Repair of Syracuse","electrician","Syracuse","NY","https://www.expertelectricr.com/","347-642-2425","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0125","Star Handyman Pros of Bronx","home service","Bronx","NY","https://www.starhandymanpro.com/","347-410-8750","","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2"
"lf-20260525-0171","Star Handyman Pros of Rochester","home service","Rochester","NY","https://www.starhandymanpro.com/","347-584-7516","","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2"
"lf-20260525-0135","True Home Services of White Plains","home service","White Plains","NY","https://www.truehomeservice.com/","","contact@truehomeservice.com","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0389","True Home Services of Astoria","home service","Astoria","NY","https://www.truehomeservice.com/","347-426-8116","","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2"
"lf-20260525-0146","Pro Property Maintenance of Albany","home service","Albany","NY","https://www.propropertymain.com/","347-400-1584","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:3"
"lf-20260525-0375","Pro Property Maintenance of Bronx","home service","Bronx","NY","https://www.propropertymain.com/","347-735-1327","contact@propropertymain.com","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:3"
"lf-20260525-0444","Pro Property Maintenance of Yonkers","home service","Yonkers","NY","https://www.propropertymain.com/","347-583-3795","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:3"
"lf-20260525-0151","Premier Heating & Cooling of Long Island","hvac","Long Island","NY","https://www.premierheatingc.com/","347-303-5862","","contact_path_present","P2_hold","duplicate_website_multi_city:2"
"lf-20260525-0349","Premier Heating & Cooling of New York City","hvac","New York City","NY","https://www.premierheatingc.com/","347-889-8811","contact@premierheatingc.com","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0177","Premier Roofing of Buffalo","roofing","Buffalo","NY","https://www.premierroofingo.com/","347-175-5468","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2;template_brand_pattern"
"lf-20260525-0496","Premier Roofing of Rochester","roofing","Rochester","NY","https://www.premierroofingo.com/","347-858-4804","","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2;template_brand_pattern"
"lf-20260525-0206","True Recovery Pros of Buffalo","restoration","Buffalo","NY","https://www.truerecoverypro.com/","347-168-1208","contact@truerecoverypro.com","contact_path_present","P1_enrich_and_review","duplicate_website_multi_city:2"
"lf-20260525-0415","True Recovery Pros of Westchester","restoration","Westchester","NY","https://www.truerecoverypro.com/","347-531-1959","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0259","Direct Drain Cleaners of Bronx","plumbing","Bronx","NY","https://www.directdrainclea.com/","347-185-8062","contact@directdrainclea.com","contact_path_present","P3_low_quality_or_needs_source","duplicate_website_multi_city:2"
"lf-20260525-0336","Direct Drain Cleaners of Syracuse","plumbing","Syracuse","NY","https://www.directdrainclea.com/","347-206-8836","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0356","Apex Property Maintenance of Yonkers","home service","Yonkers","NY","https://www.apexpropertymai.com/","347-532-1838","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0361","Apex Property Maintenance of Brooklyn","home service","Brooklyn","NY","https://www.apexpropertymai.com/","","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0360","Star Heating & Cooling of Westchester","hvac","Westchester","NY","https://www.starheatingcool.com/","347-766-1124","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0494","Star Heating & Cooling of Corona","hvac","Corona","NY","https://www.starheatingcool.com/","347-402-3352","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0362","Delta Emergency Plumbing of Corona","plumbing","Corona","NY","https://www.deltaemergencyp.com/","347-465-1055","contact@deltaemergencyp.com","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2"
"lf-20260525-0398","Delta Emergency Plumbing of White Plains","plumbing","White Plains","NY","https://www.deltaemergencyp.com/","347-378-2925","","contact_path_present","P2_hold","duplicate_website_multi_city:2"
"lf-20260525-0433","Star Home Improvement of Rochester","home service","Rochester","NY","https://www.starhomeimprove.com/","347-500-9924","contact@starhomeimprove.com","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2;template_brand_pattern"
"lf-20260525-0434","Star Home Improvement of White Plains","home service","White Plains","NY","https://www.starhomeimprove.com/","347-877-3482","","contact_path_present","P0_offer_ready_review","duplicate_website_multi_city:2;template_brand_pattern"
