lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,owner_name,owner_title,owner_source,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260614-0001,Colony Roofers,roofing,Atlanta,GA,https://www.colonyroofers.com/,+1-678-365-3138,help@colonyroofers.com,https://colonyroofers.com/contact-us,,,,overpass_public_business_record,Atlanta GA roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email help@colonyroofers.com. Website exposed a contact path at https://colonyroofers.com/contact-us. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0002,Hunter Heating And Air Conditioning,hvac,Atlanta,GA,http://www.hunterhvac.net/,+1-404-876-7700,,,,,,overpass_public_business_record,Atlanta GA hvac public business listing,Public business record listed a phone number. Public business record listed a website.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Hvac contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0003,Fineline Construction,roofing,Charlotte,NC,https://www.finelineconstruction.net,+1-704-332-1747,mb@finelineconstruction.net,,,,,overpass_public_business_record,Charlotte NC roofing public business listing,Public business record listed a phone number. Public business record listed a website. Public website exposed email mb@finelineconstruction.net. Website linked to a third-party contact surface instead of a first-party contact path.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0004,AAA City Plumbing,plumbing,Charlotte,NC,https://www.aaacityplumbing.com/,+1 704-706-9443,info@aaacityplumbing.com,https://www.aaacityplumbing.com/contact-us/,,,,overpass_public_business_record,Charlotte NC plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@aaacityplumbing.com. Website exposed a contact path at https://www.aaacityplumbing.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0005,Frank Water Systems,plumbing,Charlotte,NC,https://frankwatersystems.com,+1-704-978-7407,info@frankwatersystems.com,https://frankwatersystems.com/contact/,,,,overpass_public_business_record,Charlotte NC plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@frankwatersystems.com. Website exposed a contact path at https://frankwatersystems.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0006,Ewing Electric,electrician,Charlotte,NC,https://ewingelectricco.com/,+1 704-804-3320,info@ewingelectricco.com,https://ewingelectricco.com/contact-us/,,,,overpass_public_business_record,Charlotte NC electrician public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@ewingelectricco.com. Website exposed a contact path at https://ewingelectricco.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Electrician primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0007,Palmetto Outdoor Lighting,electrician,Charlotte,NC,https://palmettooutdoorlighting.com/,+1-704-387-3282,Palmettooutdoorlighting@gmail.com,https://palmettooutdoorlighting.com/contact/,,,,overpass_public_business_record,Charlotte NC electrician public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email Palmettooutdoorlighting@gmail.com. Website exposed a contact path at https://palmettooutdoorlighting.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Electrician primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0008,Nashville Roofing Company,roofing,Nashville,TN,https://nashvilleroofingco.com/,+1-615-800-4355,info@nashvilleroofingco.com,https://nashvilleroofingco.com/contact/,,,,overpass_public_business_record,Nashville TN roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@nashvilleroofingco.com. Website exposed a contact path at https://nashvilleroofingco.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0009,Roof Repair Nashville,roofing,Nashville,TN,https://roofrepairinnashville.com/,+1-629-288-2439,,,,,,overpass_public_business_record,Nashville TN roofing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0010,Bone Dry Roofing,roofing,Nashville,TN,https://bonedry.com/nashville/?bdr_campaign=BDR-DIG-DIR-ROOF-TN-PHO-DIRECTORY-202510-NASHVILLEEXTERNALDIRECTORY,+1-615-570-3180,,https://bonedry.com/nashville/free-estimate/,,,,overpass_public_business_record,Nashville TN roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://bonedry.com/nashville/free-estimate/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Roofing lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0011,Electric Bill's Inc.,electrician,Nashville,TN,https://www.electricbillsinc.com/,+1 615-871-4164,,,,,,overpass_public_business_record,Nashville TN electrician public business listing,"Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Electrician contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0012,Effective Commercial Electrician Nashville,electrician,Nashville,TN,https://effectivecommercialelectriciannashville.com/,+1-615-392-6995,,,,,,overpass_public_business_record,Nashville TN electrician public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Electrician contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
