lead_id,business_name,niche,city,state,website,public_phone,public_email,contact_url,owner_name,owner_title,owner_source,source_type,source_query,source_evidence,visible_gap,offer_angle,risk_score_1_5,validation_status,priority_tier,last_checked
LFR-20260614-0001,West Palm Beach Pro General Contractors,roofing,West Palm Beach,FL,https://westpalmbeachprogeneralcontractors.com/,+1 561-556-4420,support@westpalmbeachprogeneralcontractors.com,,,,,overpass_public_business_record,West Palm Beach FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email support@westpalmbeachprogeneralcontractors.com. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0002,"Custom Plumbing, Inc.",plumbing,West Palm Beach,FL,https://customplumb.com,+1561-533-5470,sherri@customplumb.com,https://customplumb.com/contact/,,,,overpass_public_business_record,West Palm Beach FL plumbing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email sherri@customplumb.com. Website exposed a contact path at https://customplumb.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Plumbing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0003,Simple Action AIr Conditioning West Palm Beach,hvac,West Palm Beach,FL,https://www.simpleaction.com/,+1-561-295-4708,info@simpleaction.com,https://www.simpleaction.com/contact,,,,overpass_public_business_record,West Palm Beach FL hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@simpleaction.com. Website exposed a contact path at https://www.simpleaction.com/contact. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Hvac primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0004,Whale Roofing & Construction,roofing,Boca Raton,FL,https://whaleroofing.com/,+1-561-778-7800,info@whaleroofing.com,,,,,overpass_public_business_record,Boca Raton FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@whaleroofing.com. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Roofing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0005,PES Solar,electrician,Boca Raton,FL,https://proesolar.com/,+1-800-650-6519,,,,,,overpass_public_business_record,Boca Raton FL electrician public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Electrician contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0006,All-Pro Electrical & Air Conditioning,hvac,Boca Raton,FL,https://www.allproelectricalandac.com/,+1-561-988-0460,,https://www.allproelectricalandac.com/contact,,,,overpass_public_business_record,Boca Raton FL hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://www.allproelectricalandac.com/contact. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0007,"Southern Coast Air Conditioning, Plumbing & Electric",hvac,Boca Raton,FL,https://southerncoastservices.com/,+1-561-763-4775,,https://southerncoastservices.com/contact/,,,,overpass_public_business_record,Boca Raton FL hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://southerncoastservices.com/contact/. Website mentions estimate, quote, inspection, or scheduling language.",Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.,Hvac lead-capture follow-up setup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0008,American Air Conditioning of Boca,hvac,Boca Raton,FL,https://www.americanacco.com,+1-561-865-8923,americanacco@aol.com,https://americanacco.com/get-a-quote/,,,,overpass_public_business_record,Boca Raton FL hvac public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email americanacco@aol.com. Website exposed a contact path at https://americanacco.com/get-a-quote/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Hvac primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0009,Distinctive Roofing,roofing,Pompano Beach,FL,https://distinctiveroofing.net/,+1 954-846-7663,info@distinctiveroofing.net,https://distinctiveroofing.net/instant-roof-quote/,,,,overpass_public_business_record,Pompano Beach FL roofing public business listing,"Public business record listed a phone number. Public business record listed a website. Public website exposed email info@distinctiveroofing.net. Website exposed a contact path at https://distinctiveroofing.net/instant-roof-quote/. Website mentions estimate, quote, inspection, or scheduling language.",Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.,Roofing primary-call routing cleanup,1,validated_public_business_source,P0_offer_ready_review,2026-06-14
LFR-20260614-0010,K2 Plumbing,plumbing,Hollywood,FL,https://k2plumbing.com/,+1-954-929-4722,,,,,,overpass_public_business_record,Hollywood FL plumbing public business listing,Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.,"Website is live, but no obvious contact or estimate path was detected on the public page sweep.",Plumbing contact-path cleanup,2,validated_public_business_source,P0_offer_ready_review,2026-06-14
