"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","quarantine_reason"
"lf-20260525-0037","First Choice Roofs of Hialeah","roofing","Hialeah","FL","https://www.firstchoiceroof.com/","813-797-2017","","https://www.firstchoiceroof.com/contact","","","","google_dorking","Hialeah roofing contact list","Public contact page found listing local operations, phone: 813-797-2017, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0059","Express Fix-it Crew of West Palm Beach","home service","West Palm Beach","FL","https://www.expressfixitcre.com/","","","https://www.expressfixitcre.com/contact","","","","google_dorking","West Palm Beach home service contact list","Public contact page found listing local operations, phone: N/A, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0065","United Roofing Systems of Hialeah","roofing","Hialeah","FL","https://www.unitedroofingsy.com/","813-132-5798","","https://www.unitedroofingsy.com/contact","","","","google_dorking","Hialeah roofing contact list","Public contact page found listing local operations, phone: 813-132-5798, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0067","First Choice Home Services of Jacksonville","home service","Jacksonville","FL","https://www.firstchoicehome.com/","813-808-5457","","https://www.firstchoicehome.com/contact","","","","google_dorking","Jacksonville home service contact list","Public contact page found listing local operations, phone: 813-808-5457, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0069","Precision Climate Control of Hialeah","hvac","Hialeah","FL","https://www.precisionclimat.com/","","","https://www.precisionclimat.com/contact","","","","google_dorking","Hialeah hvac contact list","Public contact page found listing local operations, phone: N/A, email: N/A","Static text-only repair pages with zero conversion signals or dynamic pricing indicators.","HVAC Maintenance Booking Route Audit","3","contact_path_present","P3_low_quality_or_needs_source","2026-05-25","master_contamination_audit"
"lf-20260525-0098","Precision Pest Solutions of Jacksonville","pest control","Jacksonville","FL","https://www.precisionpestso.com/","813-177-7076","","https://www.precisionpestso.com/contact","","","","google_dorking","Jacksonville pest control contact list","Public contact page found listing local operations, phone: 813-177-7076, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0110","Delta Home Improvement of Riverview","home service","Riverview","FL","https://www.deltahomeimprov.com/","813-445-3851","","https://www.deltahomeimprov.com/contact","","","","google_dorking","Riverview home service contact list","Public contact page found listing local operations, phone: 813-445-3851, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P2_hold","2026-05-25","master_contamination_audit"
"lf-20260525-0115","Delta Home Services of St. Petersburg","home service","St. Petersburg","FL","https://www.deltahomeservic.com/","813-562-6905","contact@deltahomeservic.com","https://www.deltahomeservic.com/contact","","","","google_dorking","St. Petersburg home service contact list","Public contact page found listing local operations, phone: 813-562-6905, email: contact@deltahomeservic.com","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0128","Metro Roofing & Construction of Tampa","roofing","Tampa","FL","https://www.metroroofingcon.com/","813-492-3169","","https://www.metroroofingcon.com/contact","","","","google_dorking","Tampa roofing contact list","Public contact page found listing local operations, phone: 813-492-3169, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","1","contact_path_present","P3_low_quality_or_needs_source","2026-05-25","master_contamination_audit"
"lf-20260525-0132","United Handyman Pros of Gainesville","home service","Gainesville","FL","https://www.unitedhandymanp.com/","813-656-3720","","https://www.unitedhandymanp.com/contact","","","","google_dorking","Gainesville home service contact list","Public contact page found listing local operations, phone: 813-656-3720, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
