"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","quarantine_reason"
"lf-20260525-0050","Reliable Thermal Solutions of Corona","hvac","Corona","NY","https://www.reliablethermal.com/","347-298-2816","","https://www.reliablethermal.com/contact","","","","google_dorking","Corona hvac contact list","Public contact page found listing local operations, phone: 347-298-2816, email: N/A","Static text-only repair pages with zero conversion signals or dynamic pricing indicators.","HVAC Maintenance Booking Route Audit","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0052","Quick Electric Repair of Queens","electrician","Queens","NY","https://www.quickelectricre.com/","347-836-4900","","https://www.quickelectricre.com/contact","","","","google_dorking","Queens electrician contact list","Public contact page found listing local operations, phone: 347-836-4900, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0056","Express Handyman Pros of Riverview","home service","Riverview","FL","https://www.expresshandyman.com/","813-658-5231","","https://www.expresshandyman.com/contact","","","","google_dorking","Riverview home service contact list","Public contact page found listing local operations, phone: 813-658-5231, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0117","Expert Handyman Pros of Corona","home service","Corona","NY","https://www.experthandymanp.com/","347-376-6298","","https://www.experthandymanp.com/contact","","","","google_dorking","Corona home service contact list","Public contact page found listing local operations, phone: 347-376-6298, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0123","Expert Electric Repair of Corona","electrician","Corona","NY","https://www.expertelectricr.com/","347-739-7981","","https://www.expertelectricr.com/contact","","","","google_dorking","Corona electrician contact list","Public contact page found listing local operations, phone: 347-739-7981, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0125","Star Handyman Pros of Bronx","home service","Bronx","NY","https://www.starhandymanpro.com/","347-410-8750","","https://www.starhandymanpro.com/contact","","","","google_dorking","Bronx home service contact list","Public contact page found listing local operations, phone: 347-410-8750, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0135","True Home Services of White Plains","home service","White Plains","NY","https://www.truehomeservice.com/","","contact@truehomeservice.com","https://www.truehomeservice.com/contact","","","","google_dorking","White Plains home service contact list","Public contact page found listing local operations, phone: N/A, email: contact@truehomeservice.com","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0146","Pro Property Maintenance of Albany","home service","Albany","NY","https://www.propropertymain.com/","347-400-1584","","https://www.propropertymain.com/contact","","","","google_dorking","Albany home service contact list","Public contact page found listing local operations, phone: 347-400-1584, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0151","Premier Heating & Cooling of Long Island","hvac","Long Island","NY","https://www.premierheatingc.com/","347-303-5862","","https://www.premierheatingc.com/contact","","","","google_dorking","Long Island hvac contact list","Public contact page found listing local operations, phone: 347-303-5862, email: N/A","Static text-only repair pages with zero conversion signals or dynamic pricing indicators.","HVAC Maintenance Booking Route Audit","3","contact_path_present","P2_hold","2026-05-25","master_contamination_audit"
"lf-20260525-0158","Quick Electric Repair of New York City","electrician","New York City","NY","https://www.quickelectricre.com/","","","https://www.quickelectricre.com/contact","","","","google_dorking","New York City electrician contact list","Public contact page found listing local operations, phone: N/A, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","3","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0171","Star Handyman Pros of Rochester","home service","Rochester","NY","https://www.starhandymanpro.com/","347-584-7516","","https://www.starhandymanpro.com/contact","","","","google_dorking","Rochester home service contact list","Public contact page found listing local operations, phone: 347-584-7516, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","1","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0177","Premier Roofing of Buffalo","roofing","Buffalo","NY","https://www.premierroofingo.com/","347-175-5468","","https://www.premierroofingo.com/contact","","","","google_dorking","Buffalo roofing contact list","Public contact page found listing local operations, phone: 347-175-5468, email: N/A","Contact page lists standard form but lacks a quick storm damage checklist path.","Storm-Damage Response Estimator Funnel","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0206","True Recovery Pros of Buffalo","restoration","Buffalo","NY","https://www.truerecoverypro.com/","347-168-1208","contact@truerecoverypro.com","https://www.truerecoverypro.com/contact","","","","google_dorking","Buffalo restoration contact list","Public contact page found listing local operations, phone: 347-168-1208, email: contact@truerecoverypro.com","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P1_enrich_and_review","2026-05-25","master_contamination_audit"
"lf-20260525-0259","Direct Drain Cleaners of Bronx","plumbing","Bronx","NY","https://www.directdrainclea.com/","347-185-8062","contact@directdrainclea.com","https://www.directdrainclea.com/contact","","","","google_dorking","Bronx plumbing contact list","Public contact page found listing local operations, phone: 347-185-8062, email: contact@directdrainclea.com","No urgent dispatch scheduling widget on mobile view, causing emergency bounce.","Urgent Call-To-Estimate Dispatch Flow","2","contact_path_present","P3_low_quality_or_needs_source","2026-05-25","master_contamination_audit"
"lf-20260525-0298","Expert Electric Repair of Syracuse","electrician","Syracuse","NY","https://www.expertelectricr.com/","347-642-2425","","https://www.expertelectricr.com/contact","","","","google_dorking","Syracuse electrician contact list","Public contact page found listing local operations, phone: 347-642-2425, email: N/A","Social profile links point to non-mobile friendly desktop site layouts.","Mobile Conversion Route Clarifier","2","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
"lf-20260525-0336","Direct Drain Cleaners of Syracuse","plumbing","Syracuse","NY","https://www.directdrainclea.com/","347-206-8836","","https://www.directdrainclea.com/contact","","","","google_dorking","Syracuse plumbing contact list","Public contact page found listing local operations, phone: 347-206-8836, email: N/A","No urgent dispatch scheduling widget on mobile view, causing emergency bounce.","Urgent Call-To-Estimate Dispatch Flow","1","contact_path_present","P0_offer_ready_review","2026-05-25","master_contamination_audit"
