"lead_id","business_name","niche","city","state","website","public_phone","public_email","contact_url","owner_name","owner_title","owner_source","source_type","source_query","source_evidence","visible_gap","offer_angle","risk_score_1_5","validation_status","priority_tier","last_checked","triage_reason","lead_type","public_research_note","recommended_action","business_address","registration_source","registration_status","registration_notes"
"LFR-20260614-0001","Phoenix Roofers by Allstate Roofing Contractors","roofing","Phoenix","AZ","https://www.allstateroofingaz.com/phoenix/","+1-602-484-7663","kathy@allstateroofingaz.com","https://www.allstateroofingaz.com/contact-us/","","","","overpass_public_business_record","Phoenix AZ roofing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email kathy@allstateroofingaz.com. Website exposed a contact path at https://www.allstateroofingaz.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Roofing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","roofing local service candidate in Phoenix, AZ","roofing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email kathy@allstateroofingaz.com. Website exposed a contact path at https://www.allstateroofingaz.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0002","1st Class Foam Roofing and Coating, LLC","roofing","Phoenix","AZ","","+1-602-722-0663","","","","","","overpass_public_business_record","Phoenix AZ roofing public business listing","Public business record listed a phone number.","Public business listing is present, but no website was surfaced for a clear conversion path.","Website launch and roofing intake cleanup","4","partial_public_business_source","P1_manual_enrichment","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Phoenix, AZ","roofing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0003","Canyon State Roofing & Consulting","roofing","Phoenix","AZ","https://canyonstateroofs.com/","+1-602-400-1635","","","","","","overpass_public_business_record","Phoenix AZ roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Phoenix, AZ","roofing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0004","All Vee?s Plumbing Services","plumbing","Phoenix","AZ","https://allveesplumbing.com/","+1-602-237-5414","","","","","","overpass_public_business_record","Phoenix AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Plumbing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","plumbing local service candidate in Phoenix, AZ","plumbing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0005","Hays Cooling Heating & Plumbing","plumbing","Phoenix","AZ","https://hayscoolingandheating.com/","+1-602-482-0229","","","","","","overpass_public_business_record","Phoenix AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Plumbing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","plumbing local service candidate in Phoenix, AZ","plumbing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0006","Plumber of Phoenix","plumbing","Phoenix","AZ","https://plumberofphoenix.com","+1-602-560-7778","","https://plumberofphoenix.com/contact-us/","","","","overpass_public_business_record","Phoenix AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://plumberofphoenix.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Public contact path appears to rely on phone-first routing without a clearly exposed email fallback.","Plumbing lead-capture follow-up setup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;third_party_contact_path","plumbing local service candidate in Phoenix, AZ","plumbing local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website exposed a contact path at https://plumberofphoenix.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;third_party_contact_path. Do not guess missing owner, registration, or contact details.","hold_pending_until_first_party_contact_or_stronger_owner_evidence","","","",""
"LFR-20260614-0007","Arizona Eletcric","electrician","Phoenix","AZ","https://arizonaelectricllc.com/","+1-623-242-8930","","","","","","overpass_public_business_record","Phoenix AZ electrician public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Electrician contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","electrician local service candidate in Phoenix, AZ","electrician local service candidate in Phoenix, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0008","SolTerra","roofing","Tucson","AZ","https://solterrahome.us","+1 520-539-4279","","","","","","overpass_public_business_record","Tucson AZ roofing public business listing","Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Tucson, AZ","roofing local service candidate in Tucson, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0009","The Sunny Plumber Tucson","plumbing","Tucson","AZ","http://tucson.thesunnyplumber.com","+1-520-829-4735","","","","","","overpass_public_business_record","Tucson AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Plumbing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","plumbing local service candidate in Tucson, AZ","plumbing local service candidate in Tucson, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0010","Rush Rooter LLC","plumbing","Tucson","AZ","http://www.rushrooter.com","+1-520-229-0737","impallari@gmail.com","https://rushrooter.com/contact","","","","overpass_public_business_record","Tucson AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email impallari@gmail.com. Website exposed a contact path at https://rushrooter.com/contact. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Plumbing primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","plumbing local service candidate in Tucson, AZ","plumbing local service candidate in Tucson, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email impallari@gmail.com. Website exposed a contact path at https://rushrooter.com/contact. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0011","GiddurDunn","plumbing","Tucson","AZ","https://giddurdunn.com","+1-520-530-9455","","","","","","overpass_public_business_record","Tucson AZ plumbing public business listing","Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Plumbing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","plumbing local service candidate in Tucson, AZ","plumbing local service candidate in Tucson, AZ held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Website did not return readable HTML during this run. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0012","Heritage Contractors","roofing","Chicago","IL","https://www.heritagecontractors.net/","+1-773-887-0268","info@heritagecontractors.net","","","","","overpass_public_business_record","Chicago IL roofing public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email info@heritagecontractors.net. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language.","Website is live, but no obvious contact or estimate path was detected on the public page sweep.","Roofing contact-path cleanup","2","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source;missing_first_party_contact_path","roofing local service candidate in Chicago, IL","roofing local service candidate in Chicago, IL held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email info@heritagecontractors.net. Website linked to a third-party contact surface instead of a first-party contact path. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source;missing_first_party_contact_path. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
"LFR-20260614-0013","STS Electric","electrician","Chicago","IL","https://stselectric.com/","+1 773-721-1111","admin@stselectric.com","https://stselectric.com/contact-us/","","","","overpass_public_business_record","Chicago IL electrician public business listing","Public business record listed a phone number. Public business record listed a website. Public website exposed email admin@stselectric.com. Website exposed a contact path at https://stselectric.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language.","Multiple public phone mentions may split the primary conversion path instead of pushing one clean estimate flow.","Electrician primary-call routing cleanup","1","validated_public_business_source","P0_offer_ready_review","2026-06-14","missing_owner;missing_owner_source","electrician local service candidate in Chicago, IL","electrician local service candidate in Chicago, IL held for owner/contact enrichment. Public checks available in the collector row: Public business record listed a phone number. Public business record listed a website. Public website exposed email admin@stselectric.com. Website exposed a contact path at https://stselectric.com/contact-us/. Website mentions estimate, quote, inspection, or scheduling language. Blockers: missing_owner;missing_owner_source. Do not guess missing owner, registration, or contact details.","monitor_or_move_on_until_stronger_public_evidence","","","",""
